cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,k23.mean,k23.median,k23.sd,k32.mean,k32.median,k32.sd,v.mean,v.median,v.sd,lag1.mean,lag1.median,lag1.sd
1,false,Continue,603.5916658048318,8,5.50000,0.2735530614852905,0.24610671997070313,0.012068431140382928,0.05760996519029141,0.0509976077079773,0.0005637320058897581,2.1561599522829056,2.2412216663360596,1.6640860023914767,3.4128092229366302,3.9020490646362305,1.4885511481201366,73.7246498465538,75.2075868844986,590.0671219594622,2.0782647728919983,2.19711971282959,1.152568890804263
2,false,Continue,593.9109600091369,10,5.50000,0.20715752410888671,0.2020340156555176,0.005388314974968284,0.06017978840827942,0.055251847946643826,0.0003675603554636833,1.250444769859314,0.7915079593658447,1.3052377070909118,3.340072762966156,3.5727481842041016,1.380754375942958,76.45997979640961,75.2075868844986,541.5793047676185,1.8545047283172607,2.1567530632019043,0.7036297449935295
3,false,Continue,587.7226144090725,8,5.00000,0.19181831359863283,0.2020340156555176,0.003170906124225751,0.0697161429643631,0.06769511263370515,0.0003515992867266993,1.4371887743473053,0.9005941152572632,1.103475930485338,3.87744964659214,4.65029764175415,1.7394200232003907,60.40093347430229,58.56860947608948,156.69114458801826,2.411846435070038,2.19711971282959,0.8062947618857351
4,false,Continue,584.332267994308,10,5.00000,0.21337299728393555,0.22854900360107422,0.005032584581029515,0.07596299239635469,0.07602606102228165,0.0003025625233192111,1.5534151792526245,0.9005941152572632,1.4491302266948607,4.132933127880096,4.5390403270721436,0.6433121121718286,59.26372883319855,58.56860947608948,169.07359185340567,2.6097916221618656,2.642080307006836,0.829251174068191
5,false,Continue,583.6992444344821,9,5.00000,0.20648742251926,0.24012298583984376,0.006416031951337371,0.07597873389720916,0.08435700941085816,0.00028421112178659327,1.4169001049465604,0.7915079593658447,1.7672829395351044,4.493613176875645,4.761554956436157,0.23540040299424844,56.800227642059326,58.56860947608948,185.06726010917822,2.4734124925401475,2.1567530632019043,0.7559534335428492
6,false,Continue,583.5097599509593,8,4.76190,0.2007870435714722,0.18442392349243164,0.006998380651430773,0.07493144945800306,0.07602606102228165,0.00031353129087675853,1.2849172353744507,0.7915079593658447,1.8405801586179515,4.458978101611137,4.761554956436157,0.32026601644348496,57.202349066734314,58.56860947608948,209.8422232543251,2.5017547726631166,2.1567530632019043,0.5106633220856731
7,false,Continue,583.5093804519022,9,4.76190,0.20648742251926,0.24012298583984376,0.006416031951337371,0.07377873389720917,0.06769511263370515,0.0002862986579940308,1.194677882724338,0.7915079593658447,1.6837959056911098,4.493613176875645,4.761554956436157,0.2910290603352518,58.800227642059326,58.56860947608948,206.59088882087866,2.5623013814290365,2.1567530632019043,0.4798234333224445
8,false,Continue,583.5040277299133,9,4.76190,0.20648742251926,0.24012298583984376,0.006416031951337371,0.07377873389720917,0.06769511263370515,0.0002862986579940308,1.194677882724338,0.7915079593658447,1.6837959056911098,4.382502065764533,4.761554956436157,0.3328700209173492,58.800227642059326,58.56860947608948,206.59088882087866,2.5623013814290365,2.1567530632019043,0.4798234333224445
9,false,Continue,583.3720486104512,9,4.88095,0.20648742251926,0.24012298583984376,0.006416031951337371,0.07377873389720917,0.06769511263370515,0.0002862986579940308,1.194677882724338,0.7915079593658447,1.6837959056911098,4.271390954653422,4.761554956436157,0.5969332037216687,58.800227642059326,58.56860947608948,206.59088882087866,2.5623013814290365,2.1567530632019043,0.4798234333224445
10,false,Continue,583.3720486104512,9,4.88095,0.20648742251926,0.24012298583984376,0.006416031951337371,0.07377873389720917,0.06769511263370515,0.0002862986579940308,1.194677882724338,0.7915079593658447,1.6837959056911098,4.271390954653422,4.761554956436157,0.5969332037216687,58.800227642059326,58.56860947608948,206.59088882087866,2.5623013814290365,2.1567530632019043,0.4798234333224445
11,false,Continue,579.8553738194366,9,4.88095,0.17500235663519967,0.12872486114501955,0.005811959440588828,0.07852741203308106,0.08435700941085816,0.0003172109010894188,1.2300939824846056,0.7915079593658447,1.700057940307522,4.492597752147251,4.761554956436157,0.29040529250758274,54.35415577888489,49.56860947608948,216.1217903920892,2.418976804945204,2.1567530632019043,0.34852839165052907
12,false,Continue,579.6189768998258,10,4.82069,0.17037460708618166,0.12872486114501955,0.0053803468282966555,0.07843418209314347,0.08097606102228166,0.0002820521636298244,1.0362353801727295,0.6321355104446411,1.7411526986325905,4.5194934725761415,4.761554956436157,0.2653718355584086,53.87560114860535,49.56860947608948,194.39840346792138,2.432754430770874,2.1567530632019043,0.3117012445343919
13,false,Continue,579.4729880076436,10,4.82069,0.17837460708618166,0.12872486114501955,0.007473072997458983,0.07843418209314347,0.08097606102228166,0.0002820521636298244,0.9862353801727295,0.3821355104446411,1.7933446342777997,4.569493472576141,4.761554956436157,0.18211446105982926,53.87560114860535,49.56860947608948,194.3984034679214,2.552754430770874,2.556753063201904,0.3109897687382223
14,false,Continue,579.4272809256181,10,4.82069,0.17837460708618166,0.12872486114501955,0.007473072997458983,0.07843418209314347,0.08097606102228166,0.0002820521636298244,1.0362353801727295,0.3821355104446411,1.8724032655389895,4.619493472576141,4.761554956436157,0.14885708656125002,53.87560114860535,49.56860947608948,194.39840346792138,2.552754430770874,2.556753063201904,0.3109897687382223
15,false,Continue,579.4272809256182,10,4.82069,0.17837460708618166,0.12872486114501955,0.007473072997458983,0.07843418209314347,0.08097606102228166,0.0002820521636298244,1.0362353801727295,0.3821355104446411,1.8724032655389895,4.619493472576141,4.761554956436157,0.14885708656125002,53.87560114860535,49.56860947608948,194.39840346792138,2.552754430770874,2.556753063201904,0.3109897687382223
16,false,Continue,578.3229584148918,12,4.82069,0.17009964942932132,0.12872486114501955,0.006487832039136429,0.07788183718323709,0.08007011263370514,0.0002380028015125809,0.8079474767049154,0.2571355104446411,1.765379440995992,4.664003719886144,4.761554956436157,0.12560405261940838,53.157769203186035,49.56860947608948,210.78509159924127,2.4700875361760453,2.3567530632019045,0.2644488042146498
17,false,Continue,578.035643160247,9,4.70312,0.188335689968533,0.12872486114501955,0.009724602364579712,0.07522741203308105,0.07759511263370514,0.0002567513491297849,0.9800939824846056,0.2227630615234375,2.2627918438347825,4.603708863258362,4.761554956436157,0.24316978954266233,56.35415577888489,49.56860947608948,237.10350881307153,2.5300879160563152,2.1567530632019043,0.337602320377573
18,false,Continue,577.9622421547434,9,4.70312,0.19278013441297748,0.12872486114501955,0.011489953342159466,0.07522741203308106,0.07759511263370514,0.0002567513491297849,1.0078717602623835,0.2227630615234375,2.3317781057191542,4.603708863258362,4.761554956436157,0.24316978954266233,56.35415577888489,49.56860947608948,237.10350881307156,2.5300879160563152,2.1567530632019043,0.337602320377573
19,false,Continue,577.918315186253,10,4.70312,0.21471116638183596,0.14442392349243166,0.015022993491888246,0.07416037177085877,0.07512011263370513,0.00023960917066073183,1.1793608903884887,0.3821355104446411,2.4829499489700493,4.620407354831696,4.761554956436157,0.21893932024616905,58.32706582546234,54.06860947608948,249.68241501937052,2.581746549606323,2.456753063201904,0.3267770956492718
20,false,Continue,577.8562200059423,9,4.76190,0.19722457885742192,0.12872486114501955,0.013460834316823095,0.07522741203308106,0.07759511263370514,0.0002567513491297849,1.0634273158179388,0.2227630615234375,2.6421120133233718,4.575931085480584,4.761554956436157,0.3322810174987453,56.35415577888489,49.56860947608948,237.10350881307156,2.5300879160563152,2.1567530632019043,0.3376023203775731
21,false,Continue,577.8444822620795,9,4.76190,0.19722457885742192,0.12872486114501955,0.013460834316823095,0.07522741203308106,0.07759511263370514,0.0002567513491297849,1.0912050935957167,0.2227630615234375,2.7371399418744105,4.575931085480584,4.761554956436157,0.33228101749874533,56.35415577888489,49.56860947608948,237.10350881307156,2.5523101382785374,2.1567530632019043,0.3833658934942994
22,false,Continue,577.8347862652681,9,4.76190,0.20166902330186637,0.12872486114501955,0.015787270847042286,0.07522741203308106,0.07759511263370514,0.0002567513491297849,1.0912050935957167,0.2227630615234375,2.7371399418744105,4.575931085480584,4.761554956436157,0.33228101749874533,56.35415577888489,49.56860947608948,237.10350881307156,2.5523101382785374,2.1567530632019043,0.3833658934942994
23,false,Continue,577.8271974485738,9,4.76190,0.20166902330186637,0.12872486114501955,0.015787270847042286,0.07522741203308106,0.07759511263370514,0.0002567513491297849,1.1189828713734944,0.2227630615234375,2.8460567593143367,4.575931085480584,4.761554956436157,0.33228101749874533,56.35415577888489,49.56860947608948,237.10350881307156,2.5523101382785374,2.1567530632019043,0.3833658934942994
24,false,Continue,577.8271974485738,9,4.76190,0.20166902330186634,0.12872486114501955,0.015787270847042283,0.07522741203308106,0.07759511263370514,0.0002567513491297849,1.1189828713734944,0.2227630615234375,2.8460567593143367,4.575931085480584,4.761554956436157,0.33228101749874533,56.35415577888489,49.56860947608948,237.10350881307156,2.5523101382785374,2.1567530632019043,0.3833658934942994
25,false,Continue,577.573164852726,9,4.76190,0.20166902330186637,0.12872486114501955,0.01717911159106084,0.07467741203308106,0.07759511263370514,0.00026266944463651266,1.04953842692905,0.0977630615234375,2.974025770150885,4.645375529925029,4.886554956436157,0.36696130536984134,56.60415577888489,49.56860947608948,228.78663901774914,2.5523101382785374,2.1567530632019043,0.3833658934942994
26,false,Continue,577.4836136262796,9,4.76190,0.20648742251926,0.16012298583984375,0.016597247619061988,0.07625373389720919,0.08254511263370513,0.0002705778186298001,1.069677882724338,0.0977630615234375,3.0793770915088285,4.660279843542311,4.886554956436157,0.37285659531880727,59.800227642059326,58.56860947608948,205.4063109236876,2.6845236036512587,2.756753063201904,0.38528237822592426
27,false,Continue,577.3968718762985,9,4.76190,0.20166902330186634,0.12872486114501955,0.017179111591060843,0.07687741203308106,0.08254511263370513,0.0002835080174904653,1.2023162047068279,0.10390138626098633,2.9476588218973063,4.687042196591695,4.886554956436157,0.32793079443763423,58.60415577888489,58.56860947608948,186.5715668478492,2.6411990271674264,2.756753063201904,0.32438828322411706
28,false,Continue,577.3616430115144,11,4.76190,0.1887124113603072,0.12872486114501955,0.014841755652669028,0.07784762094020845,0.08254511263370513,0.0002320565134471343,0.8827378966591575,0.0977630615234375,2.6364871372378107,4.724148045886647,4.886554956436157,0.26916418951089566,57.73538797551935,49.56860947608948,171.94462774739583,2.6067471417513763,2.1567530632019043,0.32738748871500223
29,false,Continue,577.2754729086704,9,4.76190,0.1994468010796441,0.12872486114501955,0.01758827684628952,0.07742741203308107,0.08502011263370514,0.000289771189364601,1.04953842692905,0.0977630615234375,3.0880061006777138,4.687042196591695,4.886554956436157,0.32793079443763423,56.85415577888489,49.56860947608948,199.35954160778553,2.607865693834093,2.2567530632019044,0.3349811070474102
30,false,Continue,577.1725572488346,10,4.70312,0.2162114219665528,0.140407657623291,0.020637307685523434,0.07995404791355135,0.08625761263370514,0.00030333350524662365,1.4259724378585816,0.10083222389221191,4.266708029137873,4.54724200963974,4.886554956436157,0.48693496221813537,58.77839663028717,54.06860947608948,228.62448737960565,2.702726173400879,2.506753063201904,0.3877460898785487
