cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,k23.mean,k23.median,k23.sd,k32.mean,k32.median,k32.sd,v0.mean,v0.median,v0.sd,lag1.mean,lag1.median,lag1.sd
1,false,Continue,598.9731813778296,9,5.50000,0.25212542215983075,0.24907331466674806,0.012042394165537191,0.06940839397907257,0.07673558866977692,0.0002931692278831622,1.894092361132304,1.6039013862609863,1.5799497065598798,3.320918811692132,3.3327001333236694,1.4867635007428406,80.80457925796509,79.57818746566772,538.8475081059355,1.2269027498033311,0.9278454780578613,0.7589254513098986
2,false,Continue,589.4195206040678,9,5.50000,0.20074555714925132,0.24907331466674806,0.005356491787032885,0.06898426115512848,0.07003662574291229,0.00029347398585282845,1.3022471798790827,0.7915079593658447,1.3408474968787745,4.20646870136261,4.332700133323669,0.5913577149047775,81.35515451431274,76.56860947608948,620.0973995782248,1.9200443479749891,2.1567530632019043,0.6641963414379842
3,false,Continue,583.7297422717247,8,5.00000,0.17751929759979246,0.1393847846984863,0.004797678949701861,0.07137221013009548,0.07003662574291229,0.0002720963722209535,0.7638398557901382,0.7915079593658447,0.6160786388581877,4.33721961081028,4.766124367713928,0.7201073551256806,80.70987555384636,83.07593286037445,998.4812442096244,1.5364815592765808,1.4404969215393066,0.750144297855834
4,false,Continue,582.4655368304849,8,5.00000,0.17618680715560914,0.13405482292175291,0.0049280291937659005,0.07348906363844873,0.07003662574291229,0.00017579628697243684,0.7514017820358276,0.7915079593658447,0.6137007795047111,4.468725338578224,4.766124367713928,0.36919283333197506,79.00415262579918,83.07593286037445,1125.0576321569984,1.6260135769844055,1.7986249923706055,0.7946294164760559
5,false,Continue,582.220561223531,8,5.00000,0.17618680715560914,0.13405482292175291,0.0049280291937659005,0.07348906363844873,0.07003662574291229,0.00017579628697243684,0.7514017820358276,0.7915079593658447,0.6137007795047111,4.843725338578224,4.766124367713928,0.016033699454902055,79.00415262579918,83.07593286037445,1125.0576321569981,1.7260135769844056,1.7986249923706055,0.9959412990400555
6,false,Continue,582.2205612235311,8,5.00000,0.17618680715560917,0.13405482292175291,0.0049280291937659,0.07348906363844872,0.07003662574291229,0.00017579628697243682,0.7514017820358276,0.7915079593658447,0.6137007795047111,4.843725338578224,4.766124367713928,0.016033699454902055,79.00415262579918,83.07593286037445,1125.0576321569984,1.7260135769844056,1.7986249923706055,0.9959412990400555
7,false,Continue,579.2101067479457,10,4.87805,0.16669441795349121,0.12872486114501955,0.0056556024963267445,0.07431027343749999,0.07003662574291229,0.00018328771446326353,0.6594230175018311,0.7915079593658447,0.328117119931489,4.827291262149811,4.761554956436157,0.01367100565627908,74.91704399585724,63.06860947608948,1106.5027992494674,1.9721614742279054,2.1567530632019043,0.9446817414051301
8,false,Continue,578.1630619417073,8,4.87805,0.1638631892204285,0.12872486114501955,0.005658103746435199,0.0735886374026537,0.06886586918830873,0.00021803177047131984,0.44131194055080414,0.2915079593658447,0.18004365183565416,4.813405066728592,4.761554956436157,0.012882031263890172,67.55132532119751,58.56860947608948,1132.8357123650555,1.9489226341247559,2.1567530632019043,0.7221527261836489
9,false,Continue,578.1630619417073,8,4.87805,0.1638631892204285,0.12872486114501955,0.005658103746435199,0.0735886374026537,0.06886586918830873,0.0002180317704713198,0.44131194055080414,0.2915079593658447,0.18004365183565416,4.813405066728592,4.761554956436157,0.012882031263890172,67.55132532119751,58.56860947608948,1132.8357123650555,1.9489226341247559,2.1567530632019043,0.7221527261836489
10,false,Continue,577.7151133985265,10,4.87805,0.15729186630249026,0.12872486114501955,0.004604635735432853,0.0693875665664673,0.06886586918830873,0.00011902223651688263,0.3813470482826233,0.19123977422714233,0.24054820982646005,4.831581962108612,4.761554956436157,0.012713507653388944,73.6010009765625,67.56860947608948,1050.00322244074,2.034794969558716,2.3567530632019045,0.8636537029980352
11,false,Continue,577.5896004166257,10,4.87805,0.15329186630249025,0.12872486114501955,0.0031054682210556843,0.06889256656646729,0.06886586918830873,0.00012333418584292095,0.2813470482826233,0.09097158908843994,0.16606800736352204,4.831581962108612,4.761554956436157,0.012713507653388944,74.5010009765625,69.81860947608948,1041.5384394397943,2.014794969558716,2.3567530632019045,0.9543752830795513
12,false,Continue,577.4853431455819,9,4.87805,0.1560215335422092,0.12872486114501955,0.0034098270622422012,0.07012561700344086,0.07003662574291229,0.00015840005854692805,0.14132916927337646,0.04150795936584473,0.0600201858086713,4.839362740516663,4.761554956436157,0.013621615342916726,74.77126669883728,67.56860947608948,1170.9090043126052,1.8656885147094728,1.9567530632019043,0.8398942438163999
13,false,Continue,577.4850660126292,9,4.87805,0.1560215335422092,0.12872486114501955,0.0034098270622422012,0.07012561700344086,0.07003662574291229,0.00015840005854692805,0.14132916927337646,0.04150795936584473,0.0600201858086713,4.811584962738885,4.761554956436157,0.025429046292392756,74.77126669883728,67.56860947608948,1170.9090043126052,1.8656885147094728,1.9567530632019043,0.8398942438163998
14,false,Continue,577.4850660126281,9,4.87805,0.1560215335422092,0.12872486114501955,0.0034098270622422012,0.07012561700344086,0.07003662574291229,0.00015840005854692805,0.14132916927337646,0.04150795936584473,0.0600201858086713,4.811584962738885,4.761554956436157,0.025429046292392756,74.77126669883728,67.56860947608948,1170.9090043126052,1.8656885147094728,1.9567530632019043,0.8398942438164
15,false,Continue,577.241017752075,8,4.87805,0.15943361759185792,0.12872486114501955,0.00509403395363934,0.07104818004965784,0.07003662574291229,0.00018102512757568225,0.15380682051181793,0.06623977422714233,0.06699309689693449,4.817838713526726,4.761554956436157,0.028659499088165674,75.67159885168076,65.31860947608948,1329.8441399355559,1.7293054461479187,1.9567530632019043,0.8249382999325057
